Weeks,AFC Bournemouth,Arsenal,Brighton,Burnley,Cardiff,Chelsea,Crystal Palace,Everton,Fulham,Huddersfield,Leicester,Liverpool,Man City,Man Utd,Newcastle,Southampton,Spurs,Watford,West Ham,Wolves
1,3,0,0,1,0,3,3,1,0,0,0,3,3,3,0,1,3,3,0,1
2,6,0,3,1,1,6,3,4,0,0,3,6,6,3,1,1,6,6,0,1
3,7,3,3,1,2,9,3,5,3,1,6,9,7,3,1,1,9,9,0,2
4,7,6,4,1,2,12,3,6,4,2,6,12,10,6,1,4,9,12,0,5
5,10,9,5,1,2,15,6,6,4,2,6,15,13,9,1,5,9,12,3,8
6,10,12,5,4,2,16,7,6,5,2,9,18,16,10,2,5,12,13,4,9
7,13,15,5,7,2,17,7,9,5,2,12,19,19,10,2,5,15,13,7,12
8,16,18,8,8,2,20,7,12,5,3,12,20,20,13,2,5,18,13,7,15
9,17,21,11,8,5,21,7,15,5,3,12,23,23,14,2,6,21,16,7,15
10,20,22,14,8,5,24,8,15,5,3,13,26,26,17,3,7,21,19,8,15
11,20,23,14,8,5,27,8,18,5,6,16,27,29,20,6,7,24,19,11,15
12,20,24,14,9,8,28,8,19,5,7,17,30,32,20,9,8,27,20,12,16
13,20,27,15,9,8,28,9,22,8,10,18,33,35,21,12,8,30,20,12,16
14,20,30,18,9,11,31,12,22,8,10,21,36,38,22,12,9,30,20,15,16
15,23,31,21,9,11,31,12,23,9,10,22,39,41,23,13,9,33,20,18,19
16,23,34,21,12,14,34,12,24,9,10,22,42,41,26,13,9,36,21,21,22
17,23,34,21,12,14,37,15,24,9,10,22,45,44,26,16,12,39,24,24,25
18,26,37,21,12,14,37,18,24,10,10,25,48,44,29,17,15,42,27,24,25
19,26,38,22,12,15,40,19,27,11,10,28,51,44,32,17,15,45,27,27,26
20,26,38,25,15,18,43,19,27,14,10,28,54,47,35,18,15,45,28,27,29
21,27,41,26,18,18,44,22,27,14,10,31,54,50,38,18,16,48,29,28,29
22,27,41,26,21,19,47,22,30,14,11,31,57,53,41,18,19,48,32,31,29
23,30,44,26,22,19,47,22,30,14,11,31,60,56,44,21,22,51,33,31,32
24,33,47,26,23,19,47,23,33,17,11,32,61,56,45,24,23,54,33,31,35
25,33,47,27,24,22,50,26,33,17,11,32,62,62,48,24,24,57,34,32,38
26,33,50,27,27,25,50,27,33,17,11,32,65,65,51,25,24,60,37,33,39
27,34,53,27,30,25,50,30,33,17,11,32,66,65,52,28,24,60,40,36,40
28,34,56,27,30,25,53,30,36,17,14,35,69,68,55,31,27,60,40,36,40
29,34,57,30,30,25,56,33,37,17,14,35,70,71,58,31,27,61,43,39,43
30,37,60,33,30,28,57,33,37,17,14,38,73,74,58,34,30,61,43,39,44
31,38,60,33,30,28,57,33,40,17,14,41,76,74,58,35,30,61,43,42,44
32,38,63,33,33,28,63,36,43,17,14,44,79,80,61,35,33,64,46,42,47
33,38,63,33,36,28,66,39,46,17,14,47,82,80,61,35,33,64,46,42,47
34,41,66,33,39,31,66,39,46,20,14,47,85,83,64,38,36,67,46,42,47
35,41,66,34,40,31,67,42,49,23,14,48,88,89,64,41,37,70,50,43,51
36,42,66,35,40,31,68,43,50,26,14,51,91,92,65,42,38,70,50,46,54
37,45,67,36,40,31,71,46,53,26,15,51,94,95,66,42,38,70,50,49,57
38,45,70,36,40,34,72,49,54,26,16,52,97,98,66,45,39,71,50,52,57
